VGRNR,VGRNAAM,INHABITANTS
NL00,Nederland,17408573
VR01,Groningen,586061
VR02,Fryslân,649944
VR03,Drenthe,493657
VR04,IJsselland,531354
VR05,Twente,631146
VR06,Noord- en Oost-Gelderland,827802
VR07,Gelderland-Midden,696615
VR08,Gelderland-Zuid,561725
VR09,Utrecht,1354979
VR10,Noord-Holland-Noord,662761
VR11,Zaanstreek-Waterland,339116
VR12,Kennemerland,550035
VR13,Amsterdam-Amstelland,1070603
VR14,Gooi en Vechtstreek,257096
VR15,Haaglanden,1116334
VR16,Hollands-Midden,808979
VR17,Rotterdam-Rijnmond,1323816
VR18,Zuid-Holland-Zuid,459456
VR19,Zeeland,383519
VR20,Midden- en West-Brabant,1119364
VR21,Brabant-Noord,663315
VR22,Brabant-Zuidoost,780753
VR23,Limburg-Noord,520022
VR24,Limburg-Zuid,597142
VR25,Flevoland,422979
