Datum_van_overlijden;Aantal
1900-01-01;5
2020-02-27;0
2020-02-28;0
2020-02-29;0
2020-03-01;0
2020-03-02;0
2020-03-03;0
2020-03-04;0
2020-03-05;0
2020-03-06;0
2020-03-07;0
2020-03-08;2
2020-03-09;0
2020-03-10;0
2020-03-11;1
2020-03-12;1
2020-03-13;1
2020-03-14;3
2020-03-15;6
2020-03-16;7
2020-03-17;3
2020-03-18;4
2020-03-19;8
2020-03-20;12
2020-03-21;15
2020-03-22;18
2020-03-23;19
2020-03-24;17
2020-03-25;27
2020-03-26;32
2020-03-27;37
2020-03-28;29
2020-03-29;39
2020-03-30;57
2020-03-31;59
2020-04-01;60
2020-04-02;67
2020-04-03;58
2020-04-04;71
2020-04-05;71
2020-04-06;58
2020-04-07;65
2020-04-08;61
2020-04-09;66
2020-04-10;67
2020-04-11;61
2020-04-12;81
2020-04-13;69
2020-04-14;68
2020-04-15;64
2020-04-16;82
2020-04-17;78
2020-04-18;63
2020-04-19;82
2020-04-20;49
2020-04-21;85
2020-04-22;68
2020-04-23;65
2020-04-24;61
2020-04-25;48
2020-04-26;51
2020-04-27;38
2020-04-28;39
2020-04-29;43
2020-04-30;38
2020-05-01;37
2020-05-02;38
2020-05-03;29
2020-05-04;32
2020-05-05;24
2020-05-06;36
2020-05-07;27
2020-05-08;22
2020-05-09;26
2020-05-10;18
2020-05-11;19
2020-05-12;25
2020-05-13;15
2020-05-14;16
2020-05-15;11
2020-05-16;14
2020-05-17;12
2020-05-18;14
2020-05-19;17
2020-05-20;15
2020-05-21;6
2020-05-22;11
2020-05-23;13
2020-05-24;11
2020-05-25;9
2020-05-26;11
2020-05-27;12
2020-05-28;3
2020-05-29;8
2020-05-30;5
2020-05-31;8
2020-06-01;5
2020-06-02;4
2020-06-03;2
2020-06-04;6
2020-06-05;6
2020-06-06;3
2020-06-07;8
2020-06-08;0
2020-06-09;1
2020-06-10;3
2020-06-11;3
2020-06-12;4
2020-06-13;1
2020-06-14;2
2020-06-15;1
2020-06-16;1
2020-06-17;1
2020-06-18;4
2020-06-19;0
2020-06-20;0
2020-06-21;3
2020-06-22;0
2020-06-23;1
2020-06-24;1
2020-06-25;0
2020-06-26;2
2020-06-27;1
2020-06-28;1
2020-06-29;1
2020-06-30;2
2020-07-01;1
2020-07-02;0
2020-07-03;3
2020-07-04;0
2020-07-05;3
2020-07-06;0
2020-07-07;2
2020-07-08;0
2020-07-09;0
2020-07-10;0
2020-07-11;0
2020-07-12;0
2020-07-13;0
2020-07-14;0
2020-07-15;2
2020-07-16;0
2020-07-17;1
2020-07-18;0
2020-07-19;1
2020-07-20;0
2020-07-21;0
2020-07-22;2
2020-07-23;1
2020-07-24;0
2020-07-25;0
2020-07-26;1
2020-07-27;4
2020-07-28;2
2020-07-29;0
2020-07-30;1
2020-07-31;0
2020-08-01;0
2020-08-02;0
2020-08-03;0
2020-08-04;0
2020-08-05;1
2020-08-06;0
2020-08-07;0
2020-08-08;1
2020-08-09;1
2020-08-10;3
2020-08-11;2
2020-08-12;2
2020-08-13;2
2020-08-14;2
2020-08-15;2
2020-08-16;2
2020-08-17;4
2020-08-18;2
2020-08-19;1
2020-08-20;3
2020-08-21;3
2020-08-22;0
2020-08-23;4
2020-08-24;3
2020-08-25;1
2020-08-26;2
2020-08-27;0
2020-08-28;4
2020-08-29;2
2020-08-30;2
2020-08-31;1
2020-09-01;2
2020-09-02;0
2020-09-03;1
2020-09-04;2
2020-09-05;2
2020-09-06;2
2020-09-07;0
2020-09-08;1
2020-09-09;2
2020-09-10;2
2020-09-11;4
2020-09-12;4
2020-09-13;2
2020-09-14;0
2020-09-15;0
2020-09-16;2
2020-09-17;5
2020-09-18;6
2020-09-19;3
2020-09-20;2
2020-09-21;6
2020-09-22;11
2020-09-23;3
2020-09-24;11
2020-09-25;11
2020-09-26;4
2020-09-27;6
2020-09-28;5
2020-09-29;8
2020-09-30;12
2020-10-01;8
2020-10-02;7
2020-10-03;10
2020-10-04;8
2020-10-05;10
2020-10-06;11
2020-10-07;4
2020-10-08;6
2020-10-09;4
2020-10-10;8
2020-10-11;14
2020-10-12;7
2020-10-13;3
2020-10-14;0
